paper_id,Classification,Confidence (%),AI Chunk Percentage (%)
2g48r_v1,Human,87.13,0.0
2j3ye_v1,Human,95.36,0.0
2mjye_v1,Human,62.61,22.86
2rzfs_v1,AI,76.83,9.59
2shcv_v1,AI,85.28,11.97
2y3st_v1,Human,100.0,0.0
2z3kw_v1,Human,94.54,0.0
32hdt_v1,AI,50.12,13.18
35ue9_v1,AI,67.44,7.74
385pd_v1,AI,90.25,7.65
3ntku_v1,AI,54.26,41.42
3rzsd_v1,Human,97.55,0.0
3u748_v1,Human,100.0,0.0
3vsxc_v1,AI,78.71,3.64
3x29w_v1,AI,93.39,6.02
42wex_v1,AI,60.22,17.13
46d9b_v1,Human,57.67,28.89
4nvf3_v1,Human,83.03,9.28
5b39g_v1,Human,71.54,18.05
5et76_v1,AI,79.45,0.0
5grsq_v1,Human,77.15,9.04
5knx4_v1,Human,93.69,0.0
63c7v_v1,Human,100.0,0.0
68e7j_v1,Human,85.88,3.63
68zca_v1,Human,60.3,15.43
6cseh_v1,Human,89.77,0.0
6u2ky_v1,AI,77.14,18.14
75brz_v1,Human,85.08,7.74
795xd_v1,Human,78.84,16.66
7hg4n_v1,AI,80.16,7.39
7jazr_v1,Human,95.36,0.0
7tx8b_v1,Human,89.35,0.0
86sx7_v1,Human,79.85,11.82
8gq4b_v1,AI,60.39,24.47
8k2w3_v1,AI,67.63,16.01
8sejb_v1,Human,87.08,6.64
92zhy_v1,AI,59.72,39.43
9aeu7_v1,Human,93.97,0.0
9axrk_v1,Human,71.79,22.14
9ekcq_v1,AI,63.93,17.53
9xetr_v1,Human,82.05,11.59
ab6cg_v1,AI,87.1,54.66
aezdn_v1,Human,84.67,0.0
aj94u_v1,AI,69.06,13.58
akybh_v1,Human,91.49,7.92
an5sz_v1,AI,76.05,10.22
an7se_v1,AI,52.26,42.8
b5fmx_v1,Human,72.89,25.35
bcrzw_v1,Human,100.0,0.0
bfsyu_v1,AI,87.63,2.59
bgfwq_v1,Human,79.64,3.56
bhnam_v1,Human,85.93,7.1
c6ruy_v1,Human,82.39,16.68
cdmvf_v1,Human,92.5,1.85
d9pgz_v1,Human,50.69,32.45
dkbqa_v1,Human,98.75,0.0
dqng3_v1,AI,66.67,23.72
dvmp7_v1,AI,77.07,13.55
dy6v2_v1,Human,88.15,4.67
e6vk7_v1,AI,92.29,7.82
eb6yz_v1,Human,68.38,16.23
epwqx_v1,Human,100.0,0.0
eyx2b_v1,Human,80.81,16.13
fk9xq_v1,Human,83.78,4.51
fwp8t_v1,AI,91.36,2.69
g84ur_v1,AI,64.28,12.19
g9us7_v1,AI,80.17,8.27
gc2jz_v1,Human,77.75,12.47
ghpze_v1,Human,82.0,8.3
gnx6u_v1,Human,58.26,15.85
gzy26_v1,Human,83.56,15.22
h4ec3_v1,AI,62.51,24.64
hb6c7_v1,AI,68.24,18.01
