chunk_index,prediction,truth
0,Human,Human
1,Human,Human
2,Human,Human
3,Human,Human
4,Human,Human
5,Human,Human
6,Human,Human
7,Human,Human
8,Human,Human
9,Human,Human
10,Human,Human
11,Human,Human
12,Human,Human
13,Human,Human
14,Human,Human
15,Human,Human
16,Human,Human
17,Human,Human
18,Human,Human
19,Human,Human
20,Human,Human
21,Human,Human
22,Human,Human
23,Human,Human
24,Human,Human
25,Human,Human
26,Human,Human
27,Human,Human
28,Human,Human
29,Human,Human
30,Human,Human
31,Human,Human
32,Human,Human
33,Human,Human
34,Human,Human
35,Human,Human
36,Human,Human
37,Human,Human
38,Human,Human
39,Human,Human
40,Human,Human
41,AI,Human
42,Human,Human
43,AI,Human
44,Human,Human
45,Human,Human
46,Human,Human
47,Human,Human
48,Human,Human
49,Human,Human
50,Human,Human
51,Human,Human
52,Human,Human
53,Human,Human
54,Human,Human
55,Human,Human
56,Human,Human
57,Human,Human
58,Human,Human
59,Human,Human
60,AI,Human
61,AI,Human
62,Human,Human
63,Human,Human
64,Human,Human
65,Human,Human
66,Human,Human
67,Human,Human
68,Human,Human
69,Human,Human
70,Human,AI
71,Human,AI
72,Human,AI
73,Human,AI
74,Human,AI
75,Human,AI
76,Human,AI
77,Human,AI
78,Human,AI
79,Human,AI
80,Human,AI
81,Human,AI
82,Human,AI
83,Human,AI
84,Human,AI
85,Human,AI
86,Human,AI
87,Human,AI
88,Human,AI
89,Human,AI
90,Human,AI
91,Human,AI
92,Human,AI
93,Human,AI
94,Human,AI
95,Human,AI
96,Human,AI
97,Human,AI
98,Human,AI
99,Human,AI
100,Human,AI
101,Human,AI
102,Human,AI
103,Human,AI
104,Human,AI
105,Human,AI
106,Human,AI
107,Human,AI
108,Human,AI
109,Human,AI
110,Human,AI
111,Human,AI
112,Human,AI
113,Human,AI
114,Human,AI
115,Human,AI
116,Human,AI
117,Human,AI
118,Human,AI
119,Human,AI
120,Human,AI
121,Human,AI
122,Human,AI
123,Human,AI
124,Human,AI
125,Human,AI
126,Human,AI
127,Human,AI
128,Human,AI
129,Human,AI
130,Human,AI
131,Human,AI
132,Human,AI
133,Human,AI
134,Human,AI
135,Human,AI
136,Human,AI
137,Human,AI
138,Human,AI
139,Human,AI
140,Human,AI
141,Human,AI
142,Human,AI
143,Human,AI
144,Human,AI
145,Human,AI
146,Human,AI
147,Human,AI
148,Human,AI
149,Human,AI
150,Human,AI
151,Human,AI
152,Human,AI
153,Human,AI
154,Human,AI
155,Human,AI
156,Human,AI
157,Human,AI
158,Human,AI
159,Human,AI
160,Human,AI
161,Human,AI
162,Human,AI
163,Human,AI
164,Human,AI
165,Human,AI
166,AI,AI
167,Human,AI
168,Human,AI
169,Human,AI
170,Human,AI
171,Human,AI
172,Human,AI
173,Human,AI
174,Human,AI
175,Human,AI
176,Human,AI
177,Human,AI
178,Human,AI
179,Human,AI
180,Human,AI
181,Human,AI
182,Human,AI
183,Human,AI
184,Human,AI
185,Human,AI
186,Human,AI
187,Human,AI
188,Human,AI
189,Human,AI
190,Human,AI
191,Human,AI
192,Human,AI
193,Human,AI
194,Human,AI
195,Human,AI
196,Human,AI
197,Human,AI
198,Human,AI
199,Human,AI
200,Human,AI
201,Human,AI
202,Human,AI
203,Human,AI
204,Human,AI
205,Human,AI
206,Human,AI
207,Human,AI
208,Human,AI
209,Human,AI
210,Human,AI
211,Human,AI
212,Human,AI
213,Human,AI
214,Human,AI
215,Human,AI
216,Human,AI
217,Human,AI
218,Human,AI
219,Human,AI
220,Human,AI
221,Human,AI
222,Human,AI
223,Human,AI
224,Human,AI
225,Human,AI
226,Human,AI
227,Human,AI
228,Human,AI
229,Human,AI
230,Human,AI
231,Human,AI
232,Human,AI
233,Human,AI
234,Human,AI
235,Human,AI
236,Human,AI
237,Human,AI
238,Human,AI
239,Human,AI
240,Human,AI
241,Human,AI
242,Human,AI
243,Human,AI
244,Human,AI
245,Human,AI
246,Human,AI
247,Human,AI
248,Human,AI
249,Human,AI
250,Human,AI
251,Human,AI
252,Human,AI
253,Human,AI
254,Human,AI
255,Human,AI
256,Human,AI
257,Human,AI
258,Human,AI
259,Human,AI
260,Human,AI
261,Human,AI
262,Human,AI
263,Human,AI
264,Human,AI
265,Human,AI
266,Human,AI
267,Human,AI
268,Human,AI
269,Human,AI
270,Human,AI
271,Human,AI
272,Human,AI
273,Human,AI
274,Human,AI
275,Human,AI
276,Human,AI
277,Human,AI
278,Human,AI
279,Human,AI
280,Human,AI
281,Human,AI
282,Human,AI
283,Human,AI
284,Human,AI
285,Human,AI
286,Human,AI
287,Human,AI
